"app_mode","old_count","new_count","percent_migration"
"shiny","76","25","32.9"
"static","47","6","12.8"
"python-dash","37","5","13.5"
"unknown","14","6","42.9"
"rmd-static","10","0","0.0"
"python-streamlit","8","0","0.0"
"python-api","6","1","16.7"
"python-shiny","6","1","16.7"
"rmd-shiny","1","0","0.0"
"quarto-static","0","1","NA"
"GRAND TOTAL","205","45","22.0"
